lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Cempaka Mas, Jakarta Pusat",3,2,92,900000000
"Cempaka Mas, Jakarta Pusat",3,2,94,1200000000
"Cempaka Putih, Jakarta Pusat",1,1,33,425000000
"Cempaka Putih, Jakarta Pusat",2,2,89,1900000000
"Cempaka Putih, Jakarta Pusat",2,1,33,490000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",2,1,34,500000000
"Cempaka Putih, Jakarta Pusat",2,1,34,500000000
"Cempaka Putih, Jakarta Pusat",1,1,21,275000000
"Cempaka Putih, Jakarta Pusat",2,2,34,1090000000
"Cempaka Mas, Jakarta Pusat",3,2,94,790000000
"Cempaka Putih, Jakarta Pusat",2,1,34,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Mas, Jakarta Pusat",2,1,74,700000000
"Cempaka Putih, Jakarta Pusat",2,1,33,425000000
"Cempaka Putih, Jakarta Pusat",1,1,20,250000000
"Cempaka Putih, Jakarta Pusat",3,2,94,775000000
"Cempaka Putih, Jakarta Pusat",2,1,33,520000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Mas, Jakarta Pusat",2,2,74,750000000
"Cempaka Putih, Jakarta Pusat",2,1,34,460000000
"Cempaka Putih, Jakarta Pusat",2,1,36,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",1,1,33,650000000
"Cempaka Mas, Jakarta Pusat",2,1,74,900000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,600000000
"Cempaka Mas, Jakarta Pusat",3,2,94,780000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,395000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,34,495000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Putih, Jakarta Pusat",2,1,33,420000000
"Cempaka Putih, Jakarta Pusat",2,1,36,400000000
"Cempaka Mas, Jakarta Pusat",3,2,94,850000000
"Cempaka Putih, Jakarta Pusat",2,1,36,400000000
"Cempaka Putih, Jakarta Pusat",2,1,41,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,395000000
"Cempaka Putih, Jakarta Pusat",2,1,33,885000000
"Cempaka Putih, Jakarta Pusat",2,2,76,2100000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,36,500000000
"Cempaka Mas, Jakarta Pusat",2,2,98,1300000000
"Cempaka Putih, Jakarta Pusat",2,1,34,300000000
"Cempaka Putih, Jakarta Pusat",2,1,22,650000000
"Cempaka Putih, Jakarta Pusat",2,1,33,525000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,390000000
"Cempaka Putih, Jakarta Pusat",1,1,33,360000000
"Cempaka Putih, Jakarta Pusat",2,2,75,1800000000
"Cempaka Putih, Jakarta Pusat",2,1,33,600000000
"Cempaka Mas, Jakarta Pusat",2,1,74,750000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,385000000
"Cempaka Putih, Jakarta Pusat",2,1,36,515000000
"Cempaka Putih, Jakarta Pusat",2,1,33,440000000
"Cempaka Putih, Jakarta Pusat",1,1,21,265000000
"Cempaka Putih, Jakarta Pusat",2,1,33,390000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,510000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",1,1,21,360000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,360000000
"Cempaka Putih, Jakarta Pusat",2,1,33,560000000
"Cempaka Mas, Jakarta Pusat",2,2,74,750000000
"Cempaka Mas, Jakarta Pusat",3,2,94,1000000000
"Cempaka Mas, Jakarta Pusat",2,2,74,750000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,33,439000000
"Cempaka Mas, Jakarta Pusat",2,1,74,600000000
"Cempaka Putih, Jakarta Pusat",2,1,35,450000000
"Cempaka Mas, Jakarta Pusat",2,2,74,1200000000
"Cempaka Putih, Jakarta Pusat",1,1,22,375000000
"Cempaka Putih, Jakarta Pusat",1,1,33,500000000
"Cempaka Mas, Jakarta Pusat",2,1,74,700000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Mas, Jakarta Pusat",2,1,74,700000000
"Cempaka Putih, Jakarta Pusat",2,2,89,2000000000
"Cempaka Mas, Jakarta Pusat",2,1,72,500000000
"Cempaka Putih, Jakarta Pusat",2,1,76,1680000000
"Cempaka Mas, Jakarta Pusat",3,2,94,990000000
"Cempaka Mas, Jakarta Pusat",2,1,74,830000000
"Cempaka Putih, Jakarta Pusat",2,1,28,398000000
"Cempaka Putih, Jakarta Pusat",1,1,21,450000000
"Cempaka Mas, Jakarta Pusat",2,1,75,850000000
"Cempaka Mas, Jakarta Pusat",2,1,74,700000000
