lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Kemayoran, Jakarta Pusat",1,1,31,667000000
"Kemayoran, Jakarta Pusat",1,1,35,1300000000
"Kemayoran, Jakarta Pusat",2,1,62,1150000000
"Kemayoran, Jakarta Pusat",2,1,61,1000000000
"Kemayoran, Jakarta Pusat",2,2,90,1500000000
"Kemayoran, Jakarta Pusat",1,1,23,650000000
"Kemayoran, Jakarta Pusat",1,1,40,1480000000
"Kemayoran, Jakarta Pusat",2,1,60,870000000
"Kemayoran, Jakarta Pusat",1,1,57,825000000
"Kemayoran, Jakarta Pusat",3,2,99,1800000000
"Kemayoran, Jakarta Pusat",1,1,33,600000000
"Kemayoran, Jakarta Pusat",1,1,79,2500000000
"Kemayoran, Jakarta Pusat",2,1,62,1000000000
"Kemayoran, Jakarta Pusat",1,1,35,1300000000
"Kemayoran, Jakarta Pusat",3,3,45,1200000000
"Kemayoran, Jakarta Pusat",1,1,79,2700000000
"Kemayoran, Jakarta Pusat",3,2,141,5000000000
"Kemayoran, Jakarta Pusat",2,2,96,1100000000
"Kemayoran, Jakarta Pusat",2,1,52,1150000000
"Kemayoran, Jakarta Pusat",3,2,100,1800000000
"Kemayoran, Jakarta Pusat",2,1,64,1100000000
"Kemayoran, Jakarta Pusat",2,2,90,1500000000
"Kemayoran, Jakarta Pusat",1,1,49,850000000
"Kemayoran, Jakarta Pusat",2,2,90,1500000000
"Kemayoran, Jakarta Pusat",2,2,78,800000000
"Kemayoran, Jakarta Pusat",2,1,73,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,1250000000
"Kemayoran, Jakarta Pusat",2,1,85,1250000000
"Kemayoran, Jakarta Pusat",2,1,62,1280000000
"Kemayoran, Jakarta Pusat",3,2,117,2390000000
"Kemayoran, Jakarta Pusat",1,1,31,750000000
"Kemayoran, Jakarta Pusat",1,1,33,750000000
"Kemayoran, Jakarta Pusat",1,1,31,860000000
"Kemayoran, Jakarta Pusat",3,3,116,1100000000
"Kemayoran, Jakarta Pusat",2,2,73,1500000000
"Kemayoran, Jakarta Pusat",3,2,70,850000000
"Kemayoran, Jakarta Pusat",2,1,60,1200000000
"Kemayoran, Jakarta Pusat",2,1,48,1000000000
"Kemayoran, Jakarta Pusat",3,3,66,750000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",1,1,29,490000000
"Kemayoran, Jakarta Pusat",3,2,120,3200000000
"Kemayoran, Jakarta Pusat",3,3,95,850000000
"Kemayoran, Jakarta Pusat",3,2,99,1650000000
"Kemayoran, Jakarta Pusat",3,3,73,850000000
