lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Menteng, Jakarta Pusat",1,1,33,1000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Cikini, Jakarta Pusat",2,1,60,2800000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Menteng Atas, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",3,3,120,4000000000
"Cikini, Jakarta Pusat",2,2,72,3470000000
"Menteng, Jakarta Pusat",2,1,153,4750000000
"Cikini, Jakarta Pusat",2,2,72,3700000000
"Menteng, Jakarta Pusat",2,1,60,2500000000
"Menteng, Jakarta Pusat",2,2,61,2500000000
"Cikini, Jakarta Pusat",2,1,64,2900000000
"Menteng, Jakarta Pusat",1,1,33,1350000000
"Menteng, Jakarta Pusat",2,2,60,3000000000
"Cikini, Jakarta Pusat",2,2,64,2400000000
"Cikini, Jakarta Pusat",1,1,40,2100000000
"Menteng, Jakarta Pusat",1,1,54,2000000000
"Menteng, Jakarta Pusat",2,2,111,4500000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",3,2,112,5750000000
"Menteng, Jakarta Pusat",3,3,132,4000000000
"Menteng, Jakarta Pusat",3,3,132,4000000000
"Menteng, Jakarta Pusat",3,3,132,4500000000
"Menteng, Jakarta Pusat",3,3,132,4500000000
"Cikini, Jakarta Pusat",1,1,33,1300000000
"Cikini, Jakarta Pusat",2,1,61,2950000000
"Menteng, Jakarta Pusat",2,1,64,3300000000
"Menteng, Jakarta Pusat",2,1,132,3900000000
"Cikini, Jakarta Pusat",2,2,61,2300000000
"Cikini, Jakarta Pusat",2,2,71,3500000000
"Menteng, Jakarta Pusat",1,1,28,950000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",1,1,28,975000000
"Menteng, Jakarta Pusat",2,2,157,3600000000
"Menteng, Jakarta Pusat",1,1,45,2300000000
"Menteng, Jakarta Pusat",2,2,61,1990000000
"Menteng, Jakarta Pusat",2,2,60,2190000000
"Cikini, Jakarta Pusat",1,1,28,1200000000
"Cikini, Jakarta Pusat",1,1,33,1300000000
"Menteng, Jakarta Pusat",1,1,33,1450000000
"Menteng, Jakarta Pusat",3,2,138,6200000000
"Menteng, Jakarta Pusat",2,1,90,2049999999
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Menteng Atas, Jakarta Pusat",2,2,74,1250000000
"Menteng, Jakarta Pusat",2,2,72,4099999999
"Menteng, Jakarta Pusat",2,2,60,2290000000
"Menteng, Jakarta Pusat",3,2,112,4090000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,1,58,2500000000
"Menteng, Jakarta Pusat",3,2,112,4500000000
"Cikini, Jakarta Pusat",2,1,27,1250000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",2,2,60,2100000000
"Menteng, Jakarta Pusat",3,2,112,5700000000
"Menteng, Jakarta Pusat",2,1,53,2200000000
"Menteng, Jakarta Pusat",2,1,60,2600000000
"Menteng, Jakarta Pusat",2,1,53,2200000000
"Menteng, Jakarta Pusat",2,1,53,2200000000
"Menteng, Jakarta Pusat",1,1,34,1300000000
"Cikini, Jakarta Pusat",1,1,28,1200000000
"Cikini, Jakarta Pusat",2,1,60,2900000000
"Menteng, Jakarta Pusat",3,2,155,5500000000
"Cikini, Jakarta Pusat",1,1,28,1300000000
"Cikini, Jakarta Pusat",2,1,61,4600000000
"Menteng, Jakarta Pusat",1,1,33,1250000000
"Menteng, Jakarta Pusat",2,2,126,5900000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Menteng, Jakarta Pusat",2,1,72,3000000000
"Cikini, Jakarta Pusat",2,1,61,2900000000
"Menteng, Jakarta Pusat",1,1,40,1400000000
"Menteng, Jakarta Pusat",2,2,116,3800000000
"Menteng, Jakarta Pusat",3,3,132,4850000000
"Menteng, Jakarta Pusat",2,1,61,2500000000
"Menteng, Jakarta Pusat",1,1,33,1200000000
"Menteng, Jakarta Pusat",3,2,112,5500000000
"Menteng, Jakarta Pusat",1,1,33,1000000000
"Menteng, Jakarta Pusat",2,1,56,2000000000
"Menteng, Jakarta Pusat",2,2,132,3750000000
"Cikini, Jakarta Pusat",1,1,32,950000000
"Cikini, Jakarta Pusat",1,1,32,950000000
"Cikini, Jakarta Pusat",1,1,32,950000000
"Cikini, Jakarta Pusat",1,1,32,950000000
"Cikini, Jakarta Pusat",1,1,32,950000000
"Cikini, Jakarta Pusat",1,1,32,950000000
"Menteng, Jakarta Pusat",1,1,32,950000000
"Cikini, Jakarta Pusat",2,1,53,2350000000
"Cikini, Jakarta Pusat",1,1,28,1400000000
"CBD Area, Jakarta Pusat",2,1,38,500000000
"CBD Area, Jakarta Pusat",2,1,37,450000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Cikini, Jakarta Pusat",1,1,33,1350000000
"Kebon Sirih, Jakarta Pusat",1,1,49,1150000000
"Cikini, Jakarta Pusat",2,2,51,2400000000
